V91,X2.1...What.is.your.country.of.citizenship.,X2.4...How.old.are.you.,X2.6...What.is.your.current.marital.status.,X2.7...What.is.your.level.of.education....Selected.Choice,X2.8..Please.name.your.college.university,X2.9...When.did.you.begin.your.program....Year,X2.10...What.is.your.major.,X2.11...Do.you.work.a.part.time.job.during.your.study.in.Turkey.,X3.1...What.type.of.school.did.you.attend....Selected.Choice,X5.3...Was.Turkey.your.first.choice.to.study.abroad.,X5.6...Did.your.current.university..in.Turkey..grant.you.a.scholarship.,X5.8...What.were.your.main.reasons.to.study.in.Turkey....I.saw.it.as.an.opportunity.to.explore.other.cultures,X5.8...What.were.your.main.reasons.to.study.in.Turkey....I.wanted.to.internationalize.myself,X5.8...What.were.your.main.reasons.to.study.in.Turkey....I.found.Turkey.economically.affordable,X5.8...What.were.your.main.reasons.to.study.in.Turkey....My.family.was.keen.of.Turkey.s.Islamic.culture,X5.9....What.factors.concerned.you..before.moving..to.study.in.Turkey....Difficulty.with.the.language,X5.9....What.factors.concerned.you..before.moving..to.study.in.Turkey....Wary.to.live.in.another.country,X5.9....What.factors.concerned.you..before.moving..to.study.in.Turkey....Concerned.to.leave.family,X5.9....What.factors.concerned.you..before.moving..to.study.in.Turkey....Concerned.to.get.visa,X5.9....What.factors.concerned.you..before.moving..to.study.in.Turkey....Not.enough.financial.means.to.study.abroad,X5.10...Would.you.like.to.live.abroad.after.your.studies.,X5.12...Do.you.intend.to.return.to.your.country.after.graduation.,X6.1...Did.you.need.financial.aid.to.study.abroad.,X6.3...Do.you.consider.your.study.abroad.as.an.adventure.in.a.new.country.,X8.1...How.many.times.did.you.return.to.your.country.during.your.last.academic.year.,X8.4...Regarding.your.social.life..which.statement.is.correct....I.mostly.socialize.with.Turkish.people,X8.4...Regarding.your.social.life..which.statement.is.correct....I.mainly.socialize.with.people.from.home.country,X8.4...Regarding.your.social.life..which.statement.is.correct....I.generally.socialize.with.other.foreign.students..Not.including.Turkish.or.home.country.,X8.5...How.would.you.scale.the.following.problems.while.studying.in.Turkey....Turkish.language,X8.5...How.would.you.scale.the.following.problems.while.studying.in.Turkey....Financial.barriers,X8.5...How.would.you.scale.the.following.problems.while.studying.in.Turkey....Getting.internships.jobs,X8.5...How.would.you.scale.the.following.problems.while.studying.in.Turkey....Quality.of.teaching,X8.5...How.would.you.scale.the.following.problems.while.studying.in.Turkey....Being.far.from.parents,X8.5...How.would.you.scale.the.following.problems.while.studying.in.Turkey....Health.services,X8.6...Are.you.satisfied.with.your.overall.experience.in.Turkey.
3.166666667,Pakistan,19,Never been married,Undergraduate,Bilkent University,2022,Mathematics,No,A fee paying school,No,Yes,Not important,Moderately important,Moderately important,Not important,Moderately important,Moderately important,Moderately important,Moderately important,Moderately important,Yes,I do not intend to return,Yes,Yes,Never,About half the time,About half the time,Sometimes,"Sometimes problematic	","Sometimes problematic	","Sometimes problematic	","Not problematic	","Not problematic	","Not problematic	",Somewhat satisfied
2.666666667,Pakistan,23,Never been married,Graduate,Bilkent University,2021,Electrical Engineering,No,A fee paying school,Yes,Yes,Not important,Moderately important,Very important,Very important,Very important,Not important,Moderately important,Moderately important,Very important,No,I intend to return ,Yes,Yes,Once,Sometimes,Most of the time,Sometimes,"Always problematic	","Not problematic	",,"Not problematic	","Not problematic	","Not problematic	",Somewhat satisfied
3,Azerbaijan,18,Never been married,Undergraduate,Hacettepe University,2021,International Relations,No,A public school,Yes,No,Not important,Moderately important,Moderately important,Not important,Not important,Not important,Not important,Not important,Not important,Yes,I do not intend to return,Yes,Yes,Twice,Sometimes,Sometimes,Always,"Not problematic	","Not problematic	","Not problematic	","Not problematic	","Sometimes problematic	","Sometimes problematic	",Somewhat satisfied
NA,,NA,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,,NA,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.666666667,Pakistan,21,Never been married,Undergraduate,Middle East Technical University,2020,Physics,No,A fee paying school,No,No,Very important,Very important,Very important,Very important,Very important,Moderately important,Not important,Not important,Not important,Maybe,I do not intend to return,No,Yes,Once,About half the time,Sometimes,Always,"Sometimes problematic	","Not problematic	",,"Sometimes problematic	","Not problematic	","Not problematic	",Extremely satisfied
3.166666667,Pakistan,18,Never been married,Undergraduate,Middle East Technical University,2022,Civil Engineering,No,A public school,Yes,No,Moderately important,,Very important,Moderately important,Not important,Moderately important,Not important,Moderately important,Very important,Yes,I do not intend to return,Yes,Yes,Never,About half the time,Most of the time,Most of the time,"Sometimes problematic	","Sometimes problematic	",,"Sometimes problematic	","Sometimes problematic	","Sometimes problematic	",Somewhat satisfied
3.166666667,Pakistan,20,Never been married,Undergraduate,Middle East Technical University,2022,French German Latin And Other Common Foreign Language Studies,No,A fee paying school,No,No,Very important,Very important,Very important,Moderately important,Very important,Moderately important,Moderately important,Moderately important,Moderately important,Maybe,I intend to return ,Yes,Yes,Never,Most of the time,Sometimes,Most of the time,"Always problematic	","Sometimes problematic	","Always problematic	","Not problematic	","Sometimes problematic	","Not problematic	",Somewhat satisfied
2.5,Turkmenistan,19,Never been married,Undergraduate,Middle East Technical University,2022,Petroleum Engineering,No,An international school,No,No,Very important,Very important,Very important,Very important,Not important,Not important,Moderately important,Not important,Not important,Yes,Undecided,No,Yes,Never,About half the time,Sometimes,Sometimes,"Sometimes problematic	","Not problematic	",,"Sometimes problematic	","Sometimes problematic	",,Somewhat satisfied
1.333333333,Pakistan,21,Never been married,Undergraduate,Middle East Technical University,2020,Chemical Engineering,No,A fee paying school,No,Yes,Very important,Moderately important,Very important,Very important,Very important,,,,,Maybe,I would return after a period of work,No,Yes,Twice,Never,About half the time,Never,"Not problematic	","Not problematic	",,,,,Somewhat satisfied
1.333333333,Turkmenistan,20,Never been married,Undergraduate,Atilim University,2022,Management Information Systems And Statistics,No,A public school,Yes,No,Moderately important,Very important,Not important,Very important,Moderately important,Not important,Not important,Not important,Not important,Yes,I do not intend to return,Yes,Yes,Never,Sometimes,Never,About half the time,"Not problematic	","Not problematic	",,,,,Extremely satisfied
3.333333333,India,18,Never been married,Undergraduate,Middle East Technical University,2022,Chemical Engineering,No,A public school,No,Yes,Not important,Not important,Very important,Moderately important,Very important,Not important,Not important,Not important,Very important,Yes,Undecided,Yes,Yes,Never,Sometimes,Sometimes,Always,"Always problematic	","Sometimes problematic	","Always problematic	","Not problematic	","Sometimes problematic	","Sometimes problematic	",Somewhat satisfied
3.333333333,Mauritius,20,Never been married,Undergraduate,Bilkent University,2022,Business Management And Administration,No,A public school,No,Yes,Very important,Very important,Very important,Moderately important,Not important,Not important,Not important,Moderately important,Very important,Yes,I do not intend to return,Yes,Yes,Never,Sometimes,Never,Always,"Sometimes problematic	","Sometimes problematic	","Sometimes problematic	","Not problematic	","Sometimes problematic	","Not problematic	",Somewhat satisfied
3,Kenya,18,Never been married,Undergraduate,Bilkent University,2022,Industrial And Manufacturing Engineering,No,An international school,No,Yes,Moderately important,Moderately important,Very important,Very important,Not important,Not important,Not important,Moderately important,Very important,Maybe,Undecided,Yes,Yes,Never,Sometimes,Sometimes,Always,"Sometimes problematic	","Not problematic	",,"Sometimes problematic	","Sometimes problematic	","Sometimes problematic	",Somewhat satisfied
3,Pakistan,21,Never been married,Undergraduate,Middle East Technical University,2021,Environmental Engineering,No,A fee paying school,No,Yes,Very important,Very important,Very important,Not important,Very important,Very important,Very important,,Very important,Yes,I do not intend to return,Yes,Yes,Never,About half the time,Sometimes,Always,"Always problematic	","Sometimes problematic	","Always problematic	","Not problematic	","Sometimes problematic	","Always problematic	",Neither satisfied nor dissatisfied
2.333333333,Pakistan,21,Never been married,Undergraduate,Middle East Technical University,2019,Mechanical Engineering,No,An international school,No,Yes,Moderately important,Moderately important,Moderately important,Moderately important,Not important,Moderately important,Moderately important,Not important,Moderately important,Maybe,I intend to return ,Yes,Yes,Never,Sometimes,Sometimes,Never,"Not problematic	","Always problematic	","Always problematic	","Always problematic	","Not problematic	","Sometimes problematic	",Somewhat satisfied
2.833333333,Afghanistan,20,Never been married,Undergraduate,Middle East Technical University,2022,Civil Engineering,No,If other please specify,No,No,,,,,Moderately important,Not important,Moderately important,Moderately important,Moderately important,Maybe,Undecided,Yes,Yes,Never,Most of the time,Most of the time,Sometimes,"Not problematic	","Not problematic	","Always problematic	","Sometimes problematic	","Sometimes problematic	","Not problematic	",Somewhat satisfied
3.166666667,Pakistan,21,Never been married,Undergraduate,Middle East Technical University,2020,Physics,No,A fee paying school,No,Yes,Moderately important,Very important,Very important,Not important,Very important,Not important,Not important,Moderately important,Moderately important,Yes,I do not intend to return,No,Yes,Once,Most of the time,Sometimes,About half the time,"Always problematic	","Sometimes problematic	","Always problematic	","Sometimes problematic	","Not problematic	","Not problematic	",Somewhat satisfied
2.833333333,Pakistan,24,Never been married,Graduate,Middle East Technical University,2022,Biology,No,A public school,No,No,Very important,Very important,Very important,Very important,Very important,Moderately important,Not important,Not important,Not important,Maybe,Undecided,Yes,Yes,Once,Never,About half the time,Sometimes,"Sometimes problematic	","Always problematic	","Always problematic	","Not problematic	","Sometimes problematic	","Sometimes problematic	",Somewhat satisfied
3.5,Azerbaijan,19,Never been married,Undergraduate,Hacettepe University,2021,International Relations,No,A public school,No,No,Very important,Very important,Very important,Not important,Very important,Moderately important,Moderately important,Not important,Not important,Yes,I do not intend to return,No,Yes,Twice,About half the time,Most of the time,About half the time,"Sometimes problematic	","Sometimes problematic	","Sometimes problematic	","Not problematic	","Sometimes problematic	","Sometimes problematic	",Somewhat satisfied
3.666666667,Pakistan,21,Never been married,Undergraduate,Hacettepe University,2021,Mechanical Engineering,No,An international school,Yes,No,Moderately important,Very important,Very important,Very important,Very important,Very important,Moderately important,Very important,Not important,Yes,I intend to return ,No,Yes,Once,Sometimes,Sometimes,Sometimes,"Always problematic	","Not problematic	","Sometimes problematic	","Sometimes problematic	","Sometimes problematic	","Sometimes problematic	",Somewhat satisfied
2.666666667,Pakistan,20,Never been married,If other please specify,Bilkent University,2022,Architecture,No,An international school,No,Yes,Moderately important,Very important,Very important,Very important,Very important,Moderately important,Very important,Not important,Moderately important,Maybe,I intend to return ,No,Yes,Once,About half the time,Always,About half the time,"Always problematic	","Not problematic	","Sometimes problematic	","Always problematic	","Always problematic	","Always problematic	",Somewhat satisfied
2.666666667,Pakistan,18,Never been married,Undergraduate,Middle East Technical University,2022,Biology,No,A fee paying school,Yes,No,Moderately important,Very important,Very important,Very important,Very important,Very important,Very important,Not important,Moderately important,Maybe,Undecided,No,Yes,Never,Sometimes,Always,Most of the time,"Always problematic	","Sometimes problematic	","Always problematic	","Always problematic	","Always problematic	","Not problematic	",Somewhat satisfied
3.166666667,"Micronesia, Federated States of...",20,Never been married,Undergraduate,Middle East Technical University,2021,Chemical Engineering,Yes,A fee paying school,No,Yes,,Very important,,,Moderately important,,,,,Yes,I would return after a period of work,No,Yes,Twice,Sometimes,About half the time,Most of the time,"Not problematic	","Sometimes problematic	","Not problematic	","Sometimes problematic	","Sometimes problematic	","Not problematic	",Somewhat satisfied
3,Pakistan,21,Never been married,Undergraduate,Bilkent University,2020,Physics,No,A fee paying school,No,Yes,Moderately important,Very important,Very important,Not important,Very important,Moderately important,Moderately important,Not important,Moderately important,Yes,Undecided,Yes,Yes,Once,Sometimes,Most of the time,Most of the time,"Always problematic	","Not problematic	","Always problematic	","Always problematic	","Sometimes problematic	","Sometimes problematic	",Neither satisfied nor dissatisfied
3,Pakistan,20,Never been married,Undergraduate,Middle East Technical University,2020,Environmental Engineering,No,An international school,No,No,Not important,Very important,Very important,Moderately important,Very important,Very important,Not important,Not important,Not important,Yes,Undecided,Yes,Yes,Once,Sometimes,Most of the time,Most of the time,"Always problematic	","Not problematic	","Always problematic	","Sometimes problematic	","Not problematic	","Not problematic	",Somewhat satisfied
3.166666667,Pakistan,22,Never been married,Undergraduate,Middle East Technical University,2020,Materials Engineering And Materials Science,No,A fee paying school,No,No,Moderately important,Very important,Very important,Moderately important,Very important,Moderately important,Moderately important,Not important,Not important,Yes,Undecided,No,Yes,Twice,Sometimes,About half the time,Most of the time,"Sometimes problematic	","Not problematic	","Always problematic	","Sometimes problematic	","Sometimes problematic	","Sometimes problematic	",Neither satisfied nor dissatisfied
3.166666667,Mongolia,22,Never been married,Undergraduate,Hacettepe University,2021,Economics,No,A fee paying school,No,No,Moderately important,Very important,Very important,Not important,Very important,Moderately important,Not important,Not important,Not important,Yes,I intend to return ,Yes,Yes,Never,About half the time,Sometimes,Most of the time,"Sometimes problematic	","Not problematic	","Sometimes problematic	","Sometimes problematic	","Not problematic	","Not problematic	",Somewhat satisfied
3,Pakistan,19,Never been married,Undergraduate,Middle East Technical University,2021,Economics,No,A fee paying school,No,No,Very important,Moderately important,Very important,Very important,Very important,Moderately important,Moderately important,Very important,Very important,No,I intend to return ,No,Yes,Once,Never,Always,About half the time,"Always problematic	","Always problematic	","Sometimes problematic	","Not problematic	","Always problematic	","Sometimes problematic	",Extremely satisfied
3.5,Pakistan,20,Never been married,Undergraduate,Middle East Technical University,2021,Physics,No,An international school,Yes,No,Moderately important,Moderately important,Very important,Moderately important,Very important,Moderately important,Moderately important,Moderately important,Not important,Yes,I intend to return ,No,Yes,Once,Sometimes,Most of the time,Most of the time,"Always problematic	","Sometimes problematic	","Sometimes problematic	","Not problematic	","Sometimes problematic	","Not problematic	",Somewhat satisfied
2.333333333,Algeria,17,Never been married,Undergraduate,Hacettepe University,2022,Industrial And Manufacturing Engineering,No,An international school,Yes,No,Not important,Not important,Moderately important,Moderately important,Very important,Moderately important,Moderately important,Moderately important,Moderately important,Yes,Undecided,No,Yes,Never,Sometimes,Never,Always,"Always problematic	","Not problematic	",,"Always problematic	","Sometimes problematic	",,Somewhat satisfied
3.333333333,Libyan Arab Jamahiriya,20,Never been married,Undergraduate,Hacettepe University,2022,Electrical Engineering,No,A public school,No,No,Moderately important,Moderately important,Very important,Very important,Very important,Moderately important,Moderately important,Not important,Not important,No,I intend to return ,Yes,Yes,Never,Sometimes,About half the time,Most of the time,"Always problematic	","Sometimes problematic	","Not problematic	","Sometimes problematic	","Always problematic	","Sometimes problematic	",Somewhat satisfied
2.5,Azerbaijan,20,Never been married,Undergraduate,Middle East Technical University,2020,Statistics,No,A public school,No,No,Not important,Moderately important,Very important,Moderately important,Not important,Not important,Not important,Not important,Moderately important,Yes,I would return after a period of work,Yes,Yes,Twice,About half the time,Most of the time,Sometimes,"Sometimes problematic	","Sometimes problematic	","Always problematic	","Sometimes problematic	",,"Always problematic	",Somewhat satisfied
3,Pakistan,18,Never been married,Undergraduate,Ozyegin University,2022,Computer Engineering,No,A fee paying school,Yes,Yes,Moderately important,Very important,Very important,Very important,Moderately important,Very important,Very important,Very important,Very important,No,I intend to return ,Yes,Yes,Twice,Sometimes,Always,Always,"Sometimes problematic	","Sometimes problematic	","Always problematic	","Not problematic	","Sometimes problematic	","Not problematic	",Somewhat satisfied
2.666666667,Pakistan,21,Never been married,Undergraduate,Ozyegin University,2021,Psychology,No,A fee paying school,No,Yes,Moderately important,Very important,Very important,Not important,Very important,Moderately important,Not important,Not important,Not important,No,I intend to return ,No,Yes,Twice,Never,Most of the time,About half the time,"Always problematic	","Not problematic	","Always problematic	","Not problematic	","Not problematic	","Always problematic	",Neither satisfied nor dissatisfied
3.5,Pakistan,20,Never been married,If other please specify,Ozyegin University,2021,Psychology,Yes,A fee paying school,No,Yes,Moderately important,Very important,Very important,Very important,Very important,Very important,Moderately important,Not important,Moderately important,Yes,I do not intend to return,Yes,Yes,Once,Never,Most of the time,Sometimes,"Always problematic	","Sometimes problematic	","Always problematic	","Sometimes problematic	","Sometimes problematic	","Sometimes problematic	",Extremely dissatisfied
3,Pakistan,20,Never been married,Undergraduate,Ozyegin University,2021,Business Management And Administration,No,An international school,No,Yes,Very important,Very important,Moderately important,Very important,Very important,Moderately important,Moderately important,Not important,Not important,Yes,I would return after a period of work,Yes,Yes,Twice,Sometimes,Always,Always,"Always problematic	","Not problematic	","Always problematic	","Sometimes problematic	","Sometimes problematic	","Always problematic	",Somewhat satisfied
2.833333333,Bangladesh,21,Never been married,Undergraduate,Middle East Technical University,2021,Physics,No,A fee paying school,No,No,Very important,Very important,Moderately important,Not important,Moderately important,Moderately important,Not important,Not important,Moderately important,Maybe,Undecided,No,Yes,Once,Always,Never,Sometimes,"Always problematic	","Not problematic	",,"Sometimes problematic	","Sometimes problematic	","Always problematic	",Somewhat satisfied
2.833333333,Pakistan,20,Never been married,Undergraduate,Ozyegin University,2022,Psychology,No,A fee paying school,No,Yes,Moderately important,,Very important,Moderately important,Very important,,Moderately important,,Moderately important,Yes,I intend to return ,Yes,Yes,Once,Sometimes,Most of the time,About half the time,"Always problematic	","Not problematic	","Always problematic	","Not problematic	","Sometimes problematic	","Always problematic	",Neither satisfied nor dissatisfied
2.5,Pakistan,18,Never been married,Undergraduate,Ozyegin University,2022,Electrical Engineering,No,An international school,No,Yes,Not important,Moderately important,Moderately important,Moderately important,Very important,Not important,Not important,Not important,Not important,Maybe,Undecided,No,Yes,Once,Sometimes,About half the time,Always,"Sometimes problematic	","Not problematic	","Always problematic	","Sometimes problematic	",,"Not problematic	",Somewhat satisfied
2.833333333,Azerbaijan,19,Never been married,Undergraduate,Middle East Technical University,2020,Civil Engineering,No,A public school,Yes,No,Moderately important,Moderately important,Very important,Moderately important,Not important,Not important,Not important,Not important,Not important,Yes,I do not intend to return,Yes,Yes,Twice,About half the time,Sometimes,Most of the time,"Not problematic	","Not problematic	","Always problematic	","Sometimes problematic	","Not problematic	","Sometimes problematic	",Somewhat satisfied
3,Bangladesh,22,Never been married,Undergraduate,Middle East Technical University,2019,Humanities,No,A fee paying school,Yes,No,Not important,Very important,Very important,Not important,Very important,Very important,Very important,Very important,Very important,No,I intend to return ,Yes,Yes,Never,About half the time,Sometimes,Most of the time,"Sometimes problematic	","Sometimes problematic	","Always problematic	","Sometimes problematic	","Always problematic	","Sometimes problematic	",Somewhat dissatisfied
2.666666667,Iraq,20,Never been married,Undergraduate,TED University,2022,Architecture,No,An international school,Yes,Yes,Not important,Not important,Very important,Very important,Very important,Moderately important,Not important,Not important,Very important,Yes,I would return after a period of work,No,No,Never,Sometimes,Sometimes,About half the time,"Always problematic	","Always problematic	","Always problematic	","Not problematic	","Sometimes problematic	","Always problematic	",Neither satisfied nor dissatisfied
3,Azerbaijan,20,Never been married,Undergraduate,Middle East Technical University,2020,Chemical Engineering,No,A public school,Yes,No,Not important,Very important,Very important,Moderately important,Not important,Moderately important,Moderately important,Not important,Not important,Yes,I do not intend to return,Yes,Yes,Twice,Sometimes,Always,Never,"Not problematic	","Not problematic	","Sometimes problematic	","Sometimes problematic	","Not problematic	","Not problematic	",Somewhat satisfied
3.166666667,Azerbaijan,19,Never been married,Undergraduate,Middle East Technical University,2020,Industrial And Manufacturing Engineering,No,A public school,Yes,No,Very important,Very important,Very important,Not important,Not important,Moderately important,Moderately important,Not important,Moderately important,Yes,Undecided,No,Yes,More than two times,Most of the time,Most of the time,About half the time,"Not problematic	","Not problematic	","Sometimes problematic	","Not problematic	","Sometimes problematic	","Sometimes problematic	",Somewhat satisfied
3,Pakistan,20,Never been married,Undergraduate,Hacettepe University,2021,Mechanical Engineering,No,A grammar school,No,No,Moderately important,Moderately important,Moderately important,Moderately important,Very important,Moderately important,Moderately important,Moderately important,Moderately important,Maybe,Undecided,No,Yes,Once,About half the time,Most of the time,Sometimes,"Not problematic	","Not problematic	","Sometimes problematic	","Not problematic	","Sometimes problematic	","Not problematic	",Somewhat satisfied
2.333333333,Bangladesh,22,Never been married,Undergraduate,Middle East Technical University,2021,Civil Engineering,No,A public school,No,No,Moderately important,Very important,Moderately important,Not important,Moderately important,Very important,Not important,Not important,Very important,Yes,I do not intend to return,Yes,Yes,Never,About half the time,Sometimes,Sometimes,"Always problematic	","Always problematic	","Always problematic	","Always problematic	",,"Sometimes problematic	",Somewhat dissatisfied
2.333333333,Gambia,22,Never been married,Undergraduate,Middle East Technical University,2020,Civil Engineering,No,A public school,No,No,Not important,Very important,Very important,Very important,Very important,Very important,Not important,Not important,Not important,No,I intend to return ,No,Yes,Never,Sometimes,Always,Always,"Always problematic	","Not problematic	",,"Sometimes problematic	","Always problematic	",,Neither satisfied nor dissatisfied
2.5,United States of America,23,Never been married,Undergraduate,Middle East Technical University,2018,Statistics,Yes,An international school,No,No,Not important,Very important,Very important,Moderately important,Moderately important,Very important,Not important,Not important,Not important,Yes,I intend to return ,No,Yes,Never,About half the time,Never,About half the time,"Sometimes problematic	","Always problematic	","Always problematic	","Always problematic	","Not problematic	","Sometimes problematic	",Somewhat dissatisfied
3.166666667,Pakistan,23,Never been married,Undergraduate,Middle East Technical University,2019,Economics,No,A fee paying school,No,No,Moderately important,Very important,Very important,Not important,Moderately important,Not important,Very important,Moderately important,Moderately important,Yes,I would return after a period of work,Yes,Yes,Once,About half the time,Never,About half the time,"Always problematic	","Not problematic	","Sometimes problematic	","Sometimes problematic	","Always problematic	","Not problematic	",Extremely satisfied
2.833333333,Afghanistan,20,Never been married,Undergraduate,Karabuk University,NA,International Relations,Yes,A public school,,,Moderately important,Moderately important,Moderately important,Moderately important,Moderately important,Moderately important,Moderately important,Moderately important,Moderately important,Yes,,,Yes,Once,Always,About half the time,Sometimes,"Sometimes problematic	","Sometimes problematic	","Always problematic	","Not problematic	","Always problematic	","Sometimes problematic	",Extremely satisfied
3,Turkey,21,Living with a partner,Undergraduate,Cumhuriyet University ,2022,Chemical Engineering,Yes,An international school,,,Very important,Very important,Moderately important,Very important,Moderately important,Moderately important,Very important,Very important,Very important,Maybe,,,Yes,Never,Always,Always,About half the time,"Sometimes problematic	","Always problematic	","Always problematic	","Sometimes problematic	","Sometimes problematic	","Sometimes problematic	",Somewhat satisfied
2.333333333,Afghanistan,22,Never been married,Undergraduate,Ankara Yildirim Beyazit University,2021,Civil Engineering,No,A public school,Yes,No,Moderately important,Very important,Moderately important,Not important,Moderately important,Moderately important,Moderately important,Very important,Moderately important,No,I intend to return ,Yes,Yes,Never,Sometimes,Most of the time,Most of the time,"Not problematic	","Sometimes problematic	",,,"Not problematic	","Sometimes problematic	",Somewhat satisfied
2.833333333,Afghanistan,21,Never been married,Undergraduate,Ankara Yildirim Beyazit University,2022,Civil Engineering,No,A public school,No,No,Moderately important,Moderately important,Moderately important,Moderately important,Moderately important,Moderately important,Very important,Very important,Very important,Yes,I do not intend to return,Yes,Yes,Never,Most of the time,About half the time,Most of the time,"Not problematic	","Sometimes problematic	","Always problematic	","Not problematic	","Sometimes problematic	","Not problematic	",Somewhat satisfied
3.166666667,Afghanistan,20,Never been married,Undergraduate,Ankara Yildirim Beyazit University,2021,Civil Engineering,No,A public school,No,No,Very important,Very important,Very important,Very important,Not important,Not important,Not important,Not important,Not important,Yes,I intend to return ,No,Yes,Never,Always,Always,Always,"Sometimes problematic	","Not problematic	","Sometimes problematic	","Sometimes problematic	","Not problematic	","Not problematic	",Somewhat satisfied
2.5,Afghanistan,18,Never been married,Undergraduate,Dokuz Eylul University ,2003,Economics,No,An international school,Yes,No,Not important,Very important,Very important,Moderately important,Not important,Moderately important,Very important,Moderately important,Very important,Yes,Undecided,Yes,No,Never,Most of the time,Sometimes,Sometimes,"Sometimes problematic	","Sometimes problematic	","Always problematic	","Sometimes problematic	","Always problematic	",,Somewhat satisfied
2.333333333,Gambia,22,Never been married,Undergraduate,Middle East Technical University,2021,Economics,No,A public school,No,No,Very important,Very important,Very important,Not important,Very important,Very important,Very important,Very important,Very important,Maybe,Undecided,Yes,Yes,Never,Sometimes,Sometimes,Most of the time,"Sometimes problematic	",,"Sometimes problematic	",,"Always problematic	","Sometimes problematic	",Somewhat dissatisfied
1.5,Bangladesh,21,Never been married,Undergraduate,Canakkale Onsekiz Mart Universitesi ,NA,Genetics,No,A public school,No,Yes,Very important,Very important,Not important,Not important,Moderately important,Not important,Not important,Not important,Very important,Maybe,Undecided,Yes,Yes,Never,Most of the time,Most of the time,Most of the time,"Always problematic	","Always problematic	",,,,,Somewhat satisfied
3,India,24,Never been married,PHD,Middle East Technical University,2021,Physics,No,An international school,No,Yes,Very important,Very important,Moderately important,Not important,Very important,Moderately important,Very important,Very important,Not important,Yes,I intend to return ,Yes,Yes,Once,About half the time,Sometimes,Sometimes,"Sometimes problematic	","Sometimes problematic	","Not problematic	","Not problematic	","Always problematic	","Sometimes problematic	",Neither satisfied nor dissatisfied
2.833333333,Egypt,20,Never been married,Undergraduate,Middle East Technical University,2020,Chemical Engineering,Yes,An international school,No,No,Very important,Very important,Very important,Very important,Very important,Moderately important,Moderately important,Moderately important,Not important,Yes,Undecided,No,Yes,Once,Sometimes,Most of the time,Always,"Always problematic	","Not problematic	","Always problematic	","Not problematic	","Not problematic	","Not problematic	",Extremely satisfied
3,Bosnia and Herzegovina,25,Never been married,Undergraduate,Middle East Technical University,2019,Physics,No,A public school,No,No,Moderately important,Moderately important,Very important,Not important,Not important,Not important,Not important,Not important,Moderately important,Yes,I do not intend to return,No,Yes,Twice,About half the time,Never,Always,"Sometimes problematic	","Sometimes problematic	","Always problematic	","Not problematic	","Not problematic	","Sometimes problematic	",Somewhat satisfied
3,Pakistan,21,Never been married,Undergraduate,Middle East Technical University,2020,Civil Engineering,No,A fee paying school,No,No,Moderately important,Moderately important,Very important,Moderately important,Not important,Moderately important,Not important,Not important,Not important,Maybe,I intend to return ,No,Yes,Once,Sometimes,Most of the time,Sometimes,"Sometimes problematic	","Sometimes problematic	","Always problematic	","Not problematic	","Not problematic	","Sometimes problematic	",Extremely satisfied
3,Lebanon,20,Never been married,Undergraduate,Middle East Technical University,2020,Industrial And Manufacturing Engineering,No,A fee paying school,Yes,Yes,Moderately important,Very important,Moderately important,Very important,Very important,Moderately important,Very important,Not important,Not important,Maybe,I would return after a period of work,No,Yes,Once,Sometimes,About half the time,Always,"Always problematic	","Not problematic	","Always problematic	","Sometimes problematic	","Sometimes problematic	","Always problematic	",Somewhat satisfied
2.5,Syrian Arab Republic,20,Never been married,Undergraduate,Middle East Technical University,2020,Aerospace Engineering,No,An international school,No,Yes,Not important,Not important,Very important,Moderately important,Very important,Not important,Very important,Moderately important,Moderately important,Yes,I do not intend to return,Yes,No,Never,Sometimes,Sometimes,Always,"Always problematic	","Not problematic	","Always problematic	","Sometimes problematic	",,"Always problematic	",Neither satisfied nor dissatisfied
NA,Libyan Arab Jamahiriya,20,Never been married,Undergraduate,Middle East Technical University,2020,Electrical Engineering,No,An international school,Yes,No,Moderately important,Moderately important,Very important,Very important,Not important,Not important,Moderately important,Not important,Not important,Yes,I do not intend to return,No,No,Twice,About half the time,Sometimes,About half the time,,,"Sometimes problematic	","Not problematic	","Sometimes problematic	","Sometimes problematic	",Somewhat satisfied
3,Pakistan,20,Never been married,Undergraduate,Middle East Technical University,2020,Computer Engineering,No,A grammar school,No,No,Not important,Moderately important,Very important,Moderately important,Very important,Moderately important,Moderately important,Very important,Moderately important,Yes,Undecided,No,No,Twice,About half the time,Sometimes,Most of the time,"Sometimes problematic	","Not problematic	","Always problematic	","Sometimes problematic	","Sometimes problematic	","Not problematic	",Somewhat satisfied
2.833333333,Indonesia,20,Never been married,Undergraduate,Middle East Technical University,2019,Physics,Yes,A public school,Yes,No,Very important,Very important,Very important,Moderately important,Not important,Moderately important,Moderately important,Not important,Not important,Yes,I do not intend to return,No,Yes,Once,Most of the time,Sometimes,Most of the time,"Sometimes problematic	","Not problematic	",,"Sometimes problematic	","Sometimes problematic	","Not problematic	",Somewhat satisfied
